listing_id,status,property_type,title,price_usd,price_period,bedrooms,bathrooms,area_sqm,furnished,community_id,district_id,governorate_id,agency,agent_name,listing_url,scraped_at_utc
RWI-MHA67,buy,Apartment,Apartment for Sale in Achrafieh – With Terrace,250000,USD,3,2,166,no,969,28,2,Ray White Lebanon,Marita Haddad,https://www.realestate.com.lb/en/buy-properties-lebanon/RWI-MHA67/apartment-for-sale-achrafieh-lebanon-RWI-MHA67,1770714886
RWI-MHA68,rent,Apartment,Apartment for Rent in Achrafieh – With Terrace,1000,USD / month,3,2,166,no,969,28,2,Ray White Lebanon,Marita Haddad,https://www.realestate.com.lb/en/rent-properties-lebanon/RWI-MHA68/apartment-for-rent-achrafieh-lebanon-RWI-MHA68,1770714886
HERO-PF689,rent,Apartment,Stylish Apartment | Large Terrace | Prime Location,1800,USD / month,3,3,170,yes,969,28,2,AgentHero of Lebanon,AgentHero of Lebanon,https://www.realestate.com.lb/en/rent-properties-lebanon/HERO-PF689/apartment-for-rent-achrafieh-lebanon-HERO-PF689,1770714886
EV-TA-290,buy,Apartment,Apartment For Sale in Safra,149000,USD,3,2,135,no,362,32,6,EV Prime Estates,EV Prime Estates,https://www.realestate.com.lb/en/buy-properties-lebanon/EV-TA-290/apartment-for-sale-tabarja-lebanon-EV-TA-290,1770714886
EV-JB-235,buy,Apartment,Apartment For Sale in Jbeil Town,145000,USD,3,2,135,no,1094,30,6,EV Prime Estates,EV Prime Estates,https://www.realestate.com.lb/en/buy-properties-lebanon/EV-JB-235/apartment-for-sale-jbeil-lebanon-EV-JB-235,1770714886
GOLD-GM101YA,buy,Apartment,Apartment for sale in Kfaraabida,225000,USD,3,3,160,yes,774,27,3,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM101YA/apartment-for-sale-kfar-aabida-lebanon-GOLD-GM101YA,1770714886
LA-1800,commercial_buy,Office Space,Hot deal | office | apartment,300000,USD,5,2,180,no,969,28,2,Light Real Estate,Steve Khoury,https://www.realestate.com.lb/en/commercial-properties-lebanon/LA-1800/office_space-commercial-for-sale-achrafieh-lebanon-LA-1800,1770714886
BL-BL2538040,rent,Apartment,Modern Interior | Luxurious | Huge Terrace | Open View,3333,USD / month,3,3,250,yes,577,28,2,Beirut Living,Johnny Assaf,https://www.realestate.com.lb/en/rent-properties-lebanon/BL-BL2538040/apartment-for-rent-badaro-lebanon-BL-BL2538040,1770714887
GOLD-GM238R,buy,Land,Land for sale in Zaarour,120000,USD,,,850,no,1087,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM238R/land-for-sale-zaarour-lebanon-GOLD-GM238R,1770714887
GOLD-GM300R,buy,Land,Land for sale in Zaarour,150000,USD,,,500,no,1087,24,6,Golden Mark Real Estate,Golden Mark Real Estate,https://www.realestate.com.lb/en/buy-properties-lebanon/GOLD-GM300R/land-for-sale-zaarour-lebanon-GOLD-GM300R,1770714887
